term,valence,arousal,dominance
abominator,0.0,0.74,0.84
aboriginal,0.44,0.42,0.54
aboriginality,0.52,0.22,0.56
aborigine,0.5,0.5,0.28
abort,0.16,0.68,0.42
abortion,0.08,0.76,0.28
abortionist,0.16,0.8,0.98
abortive,0.08,0.78,0.28
abortively,0.16,0.84,0.1
abound,0.7,0.48,0.68
about,0.5,0.5,0.5
about-face,0.34,0.42,0.5
about-time,0.62,0.5,0.46
about-to,0.42,0.4,0.38
above,0.64,0.36,0.54
above-all,0.66,0.46,0.6
above-average,0.48,0.54,0.68
above-water,0.68,0.46,0.5
aboveboard,0.84,0.22,0.78
aboveground,0.66,0.44,0.62
abovementioned,0.54,0.3,0.5
abracadabra,0.66,0.62,0.42
abrasion,0.4,0.58,0.44
abrasive,0.38,0.6,0.6
abrasively,0.16,0.8,0.92
abrasiveness,0.22,0.8,0.24
abreast,0.64,0.38,0.52
abridge,0.5,0.78,0.74
abridged,0.5,0.2,0.3
abridgement,0.38,0.18,0.5
abridgment,0.36,0.16,0.72
abroad,0.66,0.6,0.56
abrogate,0.32,0.5,0.6
abrupt,0.26,0.82,0.54
abruption,0.16,0.84,0.26
abruptly,0.24,0.8,0.56
abruptness,0.16,0.82,0.56
abscess,0.16,0.44,0.34
abscond,0.16,0.84,0.76
absconder,0.16,0.84,0.24
absence,0.16,0.22,0.26
absent,0.16,0.22,0.1
absentee,0.22,0.32,0.28
absenteeism,0.4,0.26,0.36
absently,0.4,0.16,0.18
absentminded,0.16,0.2,0.24
absentmindedly,0.5,0.26,0.18
absentmindedness,0.16,0.16,0.18
absentness,0.3,0.04,0.02
absinthe,0.48,0.5,0.46
absolute,0.52,0.5,0.9
absolutely,0.6,0.52,0.9
absolutely-not,0.26,0.46,0.34
absoluteness,0.8,0.14,0.9
absolution,0.7,0.5,0.66
absolutism,0.4,0.28,1.0
absolutist,0.46,0.5,1.0
absolvable,0.84,0.32,0.38
absolve,0.68,0.44,0.66
absolvent,0.76,0.5,0.84
absolver,1.0,0.5,0.74
absorb,0.46,0.56,0.66
absorbability,0.66,0.1,0.46
absorbable,0.72,0.26,0.6
absorbance,0.5,0.4,0.74
absorbed,0.48,0.46,0.52
absorbedly,0.62,0.16,0.44
absorbedness,0.5,0.16,0.22
absorbency,0.84,0.32,0.5
absorbent,0.54,0.4,0.72
absorber,0.5,0.26,0.4
absorbing,0.48,0.48,0.58
absorption,0.6,0.42,0.44
absorptive,0.62,0.84,0.4
abstain,0.38,0.38,0.42
abstainer,0.36,0.16,0.48
abstention,0.26,0.26,0.5
abstentious,0.38,0.16,0.3
abstinence,0.26,0.38,0.42
abstinent,0.84,0.02,0.68
abstinently,0.32,0.12,0.26
abstract,0.44,0.28,0.44
abstractedly,0.5,0.24,0.34
abstractedness,0.5,0.02,0.36
abstracter,0.5,0.84,0.62
abstraction,0.46,0.44,0.52
abstractionism,0.84,0.22,0.64
abstractionist,0.66,0.34,0.78
abstractive,0.5,0.36,0.62
abstractly,0.5,0.02,0.56
abstractness,0.5,0.16,0.46
abstractor,0.5,0.78,0.74
absurd,0.18,0.64,0.28
absurdist,0.32,0.5,0.66
absurdity,0.1,0.52,0.22
absurdly,0.16,0.58,0.4
absurdness,0.06,0.22,0.32
abundance,0.8,0.68,0.84
abundant,0.96,0.58,0.76
abundantly,1.0,0.5,0.64
abuse,0.06,0.88,0.46
abused,0.02,0.88,0.22
abuser,0.12,0.7,0.28
abusive,0.12,0.9,0.56
abusively,0.14,1.0,0.68
abusiveness,0.0,0.88,0.96
abutment,0.5,0.26,0.62
abutting,0.5,0.84,0.54
abuzz,0.8,1.0,0.78
aby,0.38,0.44,0.36
abysmal,0.24,0.7,0.6
abysmally,0.0,0.16,0.02
abyss,0.36,0.72,0.3
abyssal,0.22,0.02,0.46
academia,0.58,0.48,0.64
academic,0.78,0.42,0.8
academic-freedom,0.74,0.54,0.6
academic-year,0.68,0.56,0.64
academically,0.84,0.16,0.7
academy,0.7,0.46,0.78
academy-award,0.64,0.64,0.78
academy-awards,0.82,0.66,0.74
acapulco,0.84,0.84,0.52
accede,0.7,0.5,0.54
accelerant,0.64,0.84,0.8
accelerate,0.62,0.9,0.76
accelerated,0.6,0.76,0.68
acceleration,0.7,0.9,0.84
accelerative,0.78,0.96,0.9
accelerator,0.6,0.82,0.8
acceleratory,0.72,1.0,0.84
accelerometer,0.5,0.84,0.84
accent,0.6,0.36,0.5
accentual,0.54,0.6,0.64
accentuate,0.66,0.56,0.66
accentuation,0.84,0.84,0.78
accept,0.84,0.28,0.56
acceptability,0.88,0.16,0.7
acceptable,0.8,0.28,0.58
acceptableness,0.84,0.16,0.64
acceptably,0.76,0.16,0.6
acceptance,0.84,0.28,0.76
acceptances,0.84,0.4,0.64
acceptant,0.84,0.26,0.26
accepter,0.84,0.5,0.5
acceptor,0.78,0.24,0.52
access,0.7,0.46,0.56
access-code,0.54,0.44,0.72
accessary,0.38,0.36,0.4
accessibility,0.68,0.46,0.5
accessible,0.78,0.4,0.64
accessibly,0.94,0.42,0.6
accession,0.6,0.38,0.64
accessories,0.7,0.54,0.4
accessorize,0.82,0.78,0.56
accessory,0.56,0.28,0.44
accident,0.12,0.9,0.32
accidental,0.32,0.78,0.3
accidentally,0.32,0.74,0.32
accidently,0.32,0.66,0.22
acclaim,0.56,0.8,0.72
acclaimer,0.9,0.84,0.8
acclamation,1.0,0.84,0.78
acclamatory,0.84,0.84,0.84
acclimate,0.66,0.82,0.62
acclimation,0.84,0.84,0.72
acclimatization,0.84,0.2,0.56
acclimatize,0.8,0.84,0.74
accolade,0.68,0.58,0.78
accommodate,0.84,0.38,0.56
accommodation,0.82,0.4,0.58
accommodative,0.8,0.18,0.38
accommodator,0.84,0.24,0.4
accompanied,0.5,0.52,0.4
accompanier,0.68,0.78,0.56
accompaniment,0.74,0.48,0.7
accompanist,0.78,0.72,0.32
accompany,0.84,0.4,0.58
accompanying,0.78,0.46,0.58
accomplice,0.4,0.58,0.52
accomplish,0.92,0.66,0.82
accomplishable,0.84,0.54,0.94
accomplished,0.86,0.52,0.8
accomplisher,0.96,0.92,0.94
accomplishment,0.9,0.7,0.88
accord,0.9,0.26,0.38
accordable,0.78,0.5,0.52
accordance,0.66,0.34,0.6
accordant,0.8,0.18,0.62
according-to,0.7,0.36,0.56
accordion,0.6,0.48,0.36
accordionist,0.54,0.84,0.72
accost,0.16,0.84,0.9
account,0.52,0.34,0.46
account-executive,0.6,0.62,0.7
account-for,0.5,0.48,0.5
account-name,0.62,0.4,0.44
accountability,0.76,0.54,0.84
accountable,0.7,0.28,0.78
accountably,0.84,0.5,0.9
accountancy,0.6,0.18,0.74
accountant,0.62,0.44,0.64
accounting,0.54,0.38,0.66
accounts,0.58,0.34,0.46
accounts-receivable,0.64,0.46,0.66
accoutrement,0.56,0.46,0.76
accredit,0.88,0.7,0.8
accreditation,0.84,0.16,0.84
accredited,0.66,0.48,0.76
accretion,0.44,0.52,0.66
accrual,0.84,0.84,0.82
accrue,0.52,0.48,0.6
accruement,0.84,0.4,0.76
accueil,0.44,0.44,0.46
accumulate,0.56,0.54,0.6
accumulation,0.48,0.52,0.6
accumulative,0.64,0.24,0.76
accumulatively,0.5,0.84,0.74
accumulativeness,0.8,0.82,0.76
accumulator,0.5,0.74,0.84
accuracy,0.6,0.48,0.8
accurate,0.74,0.36,0.72
accurately,0.84,0.58,0.78
accurateness,0.84,0.06,0.9
accurse,0.0,0.84,0.4
accursed,0.14,0.74,0.34
accursedly,0.0,0.56,0.2
accursedness,0.0,0.24,0.08
accusable,0.16,0.6,0.16
accusation,0.08,0.72,0.56
accusative,0.2,0.76,0.48
accusatively,0.18,0.84,0.62
accusatorial,0.16,0.84,0.88
accusatorially,0.16,0.82,0.78
accusatory,0.16,0.84,0.96
accuse,0.14,0.74,0.5
accused,0.12,0.66,0.42
accused-of,0.28,0.56,0.36
accuser,0.12,0.78,0.62
accusing,0.16,0.74,0.32
accustom,0.52,0.26,0.56
accustomed,0.54,0.36,0.44
accustomed-to,0.56,0.5,0.56
ace,0.64,0.48,0.54
acerbate,0.0,0.84,0.3
acerbic,0.16,0.5,0.62
acetaminophen,0.66,0.32,0.5
acetate,0.5,0.16,0.5
acetic,0.32,0.42,0.52
acetone,0.38,0.5,0.58
acetyl,0.5,0.5,0.54
acetylene,0.3,0.46,0.5
ache,0.14,0.76,0.3
ache-for,0.48,0.6,0.34
achievable,1.0,0.4,0.78
achieve,0.82,0.54,0.84
achieve-success,1.0,0.56,0.88
achieved,0.9,0.52,0.78
achievement,0.9,0.8,0.76
achiever,0.96,0.84,1.0
achilles-heel,0.3,0.4,0.4
achiness,0.14,0.36,0.02
aching,0.04,0.88,0.34
achromatic,0.5,0.22,0.5
achy,0.16,0.84,0.38
acid,0.26,0.64,0.56
acid-rain,0.08,0.7,0.32
acidic,0.16,0.5,0.54
acidification,0.16,0.6,0.22
acidifier,0.32,0.7,0.66
acidify,0.16,0.78,0.78
acidity,0.16,0.66,0.36
acidize,0.16,0.84,0.7
acidly,0.18,0.5,0.72
acknowledge,0.78,0.36,0.66
acknowledgeable,0.84,0.5,0.72
acknowledged,0.7,0.44,0.76
acknowledgement,0.82,0.54,0.82
acknowledger,0.74,0.8,0.56
acknowledgment,0.78,0.52,0.78
acme,0.4,0.42,0.38
acne,0.16,0.46,0.3
acolyte,0.66,0.4,0.3
acorn,0.44,0.2,0.18
acoustic,0.54,0.46,0.52
acoustic-guitar,0.56,0.56,0.56
acoustical,0.5,0.26,0.56
acoustically,0.5,0.5,0.54
acoustician,0.5,0.6,0.94
acoustics,0.6,0.32,0.5
acquaint,0.64,0.48,0.64
acquaintance,0.64,0.28,0.66
acquaintanceship,0.66,0.16,0.5
acquainted,0.9,0.36,0.62
acquiesce,0.44,0.16,0.16
acquiescence,0.54,0.48,0.56
acquiescent,0.32,0.16,0.04
acquiescently,0.32,0.16,0.16
acquirable,0.78,0.66,0.68
acquire,0.84,0.46,0.7
acquired,0.54,0.74,0.78
acquired-taste,0.44,0.42,0.46
acquirement,0.84,0.16,0.76
acquirer,0.52,0.8,0.86
acquiring,0.72,0.5,0.82
acquisition,0.7,0.5,0.72
acquisitions,0.78,0.66,0.78
acquisitive,0.36,0.84,0.8
acquisitively,0.58,0.8,0.82
acquisitiveness,0.18,0.84,0.84
acquit,0.58,0.56,0.6
acquittal,0.76,0.48,0.7
acquitted,1.0,0.22,0.76
acquitter,1.0,0.78,0.86
acre,0.58,0.38,0.42
acreage,0.74,0.44,0.52
acres,0.5,0.36,0.5
acrid,0.16,0.84,0.74
acridity,0.08,0.84,0.42
acridly,0.04,0.78,0.58
acridness,0.16,0.84,0.22
acrimonious,0.0,0.84,0.78
acrimoniously,0.06,0.84,0.3
acrimoniousness,0.0,0.96,0.22
acrimony,0.0,0.84,0.36
acrobat,0.7,0.82,0.6
acrobatic,1.0,1.0,0.76
acrobatically,0.84,1.0,0.84
acronym,0.5,0.5,0.5
acronymic,0.5,0.04,0.56
acrophobia,0.14,0.84,0.14
acropolis,0.66,0.16,0.88
across,0.5,0.84,0.5
across-from,0.38,0.42,0.46
acrostic,0.62,0.46,0.54
acrylic,0.58,0.28,0.42
act,0.64,0.7,0.72
act-as,0.58,0.46,0.54
act-for,0.46,0.52,0.48
act-on,0.58,0.54,0.54
act-out,0.38,0.58,0.46
act-up,0.48,0.6,0.46
act-upon,0.54,0.56,0.64
actin,0.5,0.84,0.76
acting,0.7,0.64,0.5
acting-out,0.18,0.62,0.34
acting-up,0.48,0.66,0.5
action,0.76,0.9,0.8
action-figure,0.6,0.7,0.58
action-film,0.56,0.66,0.66
action-movie,0.7,0.7,0.56
actionable,0.66,0.7,0.62
actionably,0.84,0.84,0.84
activate,0.76,0.64,0.8
activated,0.84,1.0,0.78
activation,0.78,0.8,0.76
activator,0.84,0.98,0.84
active,0.84,0.72,0.72
active-duty,0.5,0.78,0.68
active-list,0.5,0.64,0.64
actively,0.84,1.0,0.84
activeness,1.0,1.0,0.84
activism,0.84,0.84,0.84
activist,0.52,0.64,0.88
activities,0.84,1.0,0.66
activity,0.7,0.66,0.8
actor,0.64,0.56,0.62
actress,0.64,0.56,0.6
actual,0.72,0.4,0.7
actuality,0.74,0.46,0.6
actualization,1.0,0.76,0.86
actualize,0.88,0.84,0.82
actually,0.5,0.5,0.5
actuarial,0.5,0.24,0.78
actuary,0.5,0.4,0.48
actuate,0.54,1.0,0.96
actuation,0.52,0.94,0.78
actuator,0.5,1.0,0.84
acuity,0.46,0.38,0.74
acumen,0.56,0.66,0.68
acupressure,0.84,0.68,0.66
acupuncture,0.52,0.32,0.54
acupuncturist,0.7,0.68,0.72
acute,0.42,0.64,0.54
acutely,0.4,0.54,0.48
acuteness,0.88,0.72,0.84
ad,0.52,0.7,0.56
ad-agency,0.5,0.56,0.56
ad-campaign,0.6,0.6,0.54
ad-hoc,0.44,0.46,0.42
ad-hominem,0.2,0.46,0.48
ad-infinitum,0.5,0.6,0.54
ad-libs,0.46,0.52,0.42
ad-nauseam,0.3,0.54,0.48
adage,0.5,0.4,0.56
adamant,0.34,0.52,0.56
adamantly,0.5,0.84,0.9
adapt,0.74,0.36,0.54
adaptability,0.9,0.54,0.84
adaptable,0.72,0.42,0.64
adaptation,0.66,0.36,0.6
adapter,0.5,0.5,0.66
adaption,0.84,0.8,0.76
adaptive,0.9,0.7,0.8
adaptively,0.84,0.74,0.7
adaptor,0.54,0.74,0.64
add,0.72,0.48,0.56
add-in,0.52,0.4,0.58
add-on,0.78,0.5,0.5
add-to,0.5,0.58,0.52
add-up,0.64,0.56,0.42
addams-family,0.62,0.54,0.56
added,0.56,0.4,0.5
added-value,0.74,0.62,0.76
addendum,0.38,0.36,0.42
adder,0.38,0.46,0.58
addict,0.08,0.7,0.32
addicted,0.16,0.7,0.48
addictedness,0.16,0.84,0.1
addiction,0.18,0.8,0.42
addictive,0.3,0.68,0.46
addictiveness,0.16,0.84,0.2
addition,0.56,0.38,0.46
additional,0.66,0.46,0.52
additionally,0.5,0.2,0.52
additive,0.56,0.64,0.68
additively,0.5,0.5,0.5
addlebrained,0.16,0.24,0.12
addled,0.16,0.18,0.18
address,0.64,0.32,0.56
addressable,0.84,0.52,0.78
addressbook,0.5,0.16,0.62
addressee,0.62,0.38,0.54
addresser,0.5,0.8,0.76
addresses,0.5,0.36,0.44
addressor,0.5,0.5,0.78
adenoid,0.32,0.22,0.38
adept,0.6,0.54,0.78
adeptly,0.94,0.84,0.9
adeptness,1.0,0.6,0.84
adequacy,0.62,0.42,0.7
adequate,0.84,0.26,0.7
adequately,0.66,0.44,0.6
adequateness,0.66,0.16,0.78
adhd,0.26,0.46,0.46
adhere,0.64,0.34,0.56
adhere-to,0.5,0.5,0.38
adherence,0.76,0.3,0.62
adherent,0.56,0.38,0.56
adherently,0.54,0.16,0.68
adherer,0.84,0.78,0.68
adhering,0.6,0.56,0.54
adhesion,0.52,0.44,0.58
adhesive,0.6,0.34,0.4
adhesively,0.52,0.5,0.5
adhesiveness,0.74,0.28,0.54
adieu,0.24,0.46,0.34
adios,0.5,0.22,0.5
adipose,0.32,0.34,0.38
adjacency,0.36,0.4,0.38
adjacent,0.64,0.26,0.54
adjacent-to,0.36,0.42,0.46
adjacently,0.5,0.72,0.52
adjective,0.56,0.32,0.56
adjectively,0.5,0.22,0.5
adjoin,0.5,0.5,0.6
adjoining,0.52,0.4,0.4
adjourn,0.38,0.46,0.46
adjournment,0.44,0.5,0.36
adjudicate,0.56,0.52,0.68
adjudication,0.54,0.46,0.68
adjudicative,0.78,0.84,0.96
adjudicator,0.56,0.84,0.86
adjunct,0.46,0.44,0.42
adjunction,0.5,0.5,0.62
adjunctive,0.5,0.76,0.58
adjunctively,0.5,0.5,0.6
adjure,0.5,0.82,0.94
adjust,0.64,0.32,0.64
adjustability,0.84,0.84,0.74
adjustable,0.84,0.72,0.7
adjustably,0.52,0.5,0.64
adjuster,0.5,0.54,0.76
adjustment,0.58,0.52,0.66
adjustor,0.84,0.84,0.62
adjuvant,0.5,0.5,0.46
admin,0.68,0.42,0.84
administer,0.64,0.42,0.86
administrable,0.82,0.64,0.84
administrant,0.5,0.78,0.88
administrate,0.56,0.84,1.0
administration,0.62,0.4,0.78
administrational,0.5,0.16,0.8
administrative,0.54,0.4,0.58
administrative-assistant,0.6,0.62,0.66
administratively,0.5,0.22,0.8
administrator,0.54,0.48,0.9
admirable,0.92,0.6,0.86
admirably,0.96,0.28,0.74
admiral,0.84,0.48,0.84
admiralship,1.0,0.4,1.0
admiralty,0.6,0.54,0.72
admiration,0.96,0.58,0.72
admire,0.86,0.68,0.7
admired,0.9,0.56,0.82
admirer,0.78,0.72,0.64
admiring,0.86,0.58,0.62
admissibility,0.8,0.58,0.6
admissible,0.78,0.52,0.64
admissibly,0.5,0.16,0.6
admission,0.8,0.4,0.72
admissive,0.8,0.22,0.3
admit,0.54,0.42,0.66
admit-to,0.44,0.44,0.4
admittance,0.68,0.44,0.6
admitted,0.72,0.48,0.76
admittedly,0.5,0.5,0.5
admitter,0.5,0.72,0.62
admitting,0.62,0.5,0.54
admixture,0.44,0.38,0.44
admonish,0.16,0.28,0.84
admonisher,0.24,0.8,0.88
admonishment,0.16,0.76,0.78
admonition,0.36,0.6,0.46
ado,0.52,0.42,0.38
adobe,0.5,0.32,0.32
adolescence,0.48,0.7,0.44
adolescent,0.78,0.68,0.5
adolescently,0.5,0.78,0.2
adopt,0.7,0.6,0.7
adoptability,0.84,0.36,0.54
adoptable,0.84,0.36,0.38
adoptee,0.52,0.36,0.2
adopter,0.84,0.84,0.68
adoption,0.62,0.56,0.58
adoptive,0.52,0.46,0.52
adoptively,0.84,0.52,0.48
adorability,0.96,0.32,0.32
adorable,0.96,0.52,0.46
adorableness,1.0,0.32,0.24
adorably,0.96,0.22,0.32
adoration,0.88,0.7,0.7
adore,0.84,0.44,0.64
adored,1.0,0.16,0.42
adorer,0.98,0.84,0.6
adoring,0.88,0.62,0.7
adorn,0.9,0.42,0.48
adorner,0.84,0.24,0.6
adornment,0.92,0.38,0.38
adrenal,0.5,0.96,0.8
adrenalin,0.86,0.92,0.78
adrenaline,0.76,0.96,0.78
adrift,0.4,0.48,0.22
adroitness,0.96,0.84,0.88
adulate,0.72,0.84,0.16
adulation,1.0,0.84,0.62
adulatory,0.8,0.56,0.56
adult,0.82,0.48,0.78
adult-life,0.56,0.52,0.62
adult-male,0.42,0.52,0.66
adulterant,0.16,0.5,0.24
adulterate,0.1,0.66,0.32
adulterated,0.18,0.86,0.36
adulteration,0.14,0.5,0.22
adulterator,0.02,0.84,0.82
adulterer,0.22,0.82,0.4
adulteress,0.14,0.76,0.26
adulterous,0.0,0.84,0.3
adulterously,0.02,0.82,0.6
adultery,0.12,0.92,0.5
adulthood,0.54,0.46,0.64
adultlike,0.84,0.3,0.78
adultness,0.78,0.24,0.78
advance,0.66,0.46,0.86
advance-poll,0.66,0.42,0.64
advanced,0.84,0.62,0.78
advancement,0.78,0.64,0.84
advancer,0.84,1.0,0.96
advancing,0.92,0.6,0.86
advantage,0.9,0.54,0.86
advantageous,0.84,0.64,0.78
advantageously,0.96,0.54,0.98
advantageousness,1.0,0.2,0.88
advent,0.66,0.56,0.62
advent-calendar,0.7,0.46,0.62
adventure,0.9,0.84,0.7
adventure-game,0.56,0.7,0.76
adventurer,0.78,0.84,0.86
adventures,0.8,0.76,0.74
adventuresome,0.96,0.98,0.84
adventurism,0.84,1.0,0.84
adventurist,0.8,0.84,0.84
adventurous,0.96,0.9,0.72
adventurously,0.84,0.94,0.8
adventurousness,1.0,0.96,0.84
adverb,0.5,0.4,0.5
adverbial,0.5,0.16,0.54
adversarial,0.16,0.94,0.9
adversary,0.34,0.78,0.46
adverse,0.32,0.6,0.38
adversely,0.06,0.84,0.18
adverseness,0.16,0.78,0.3
adversity,0.26,0.72,0.54
advert,0.5,0.78,0.66
advertently,0.5,0.68,0.74
advertise,0.5,0.52,0.58
advertised,0.8,0.84,0.66
advertisement,0.6,0.56,0.54
advertiser,0.5,0.84,0.82
advertising,0.62,0.6,0.62
advertize,0.58,0.84,0.78
adverts,0.54,0.5,0.6
advice,0.7,0.4,0.68
advisability,0.8,0.16,0.74
advisable,0.86,0.48,0.5
advisably,0.82,0.16,0.72
advise,0.76,0.4,0.7
advised,0.82,0.24,0.62
advisedly,0.76,0.16,0.76
advisee,0.58,0.32,0.26
advisement,0.7,0.22,0.64
adviser,0.74,0.36,0.7
advisor,0.64,0.34,0.68
advisory,0.64,0.42,0.64
advisory-board,0.62,0.46,0.64
advocacy,0.5,0.64,0.72
advocate,0.54,0.52,0.82
advocator,0.88,0.84,0.78
advocatory,0.8,0.82,0.78
aegis,0.48,0.44,0.46
aerate,0.76,0.84,0.56
aeration,0.54,0.5,0.42
aerator,0.84,0.84,0.78
aerial,0.62,0.46,0.46
aerialist,0.84,0.84,0.76
aerially,0.5,0.66,0.58
aerobatic,0.8,1.0,0.8
aerobic,0.84,1.0,0.76
aerobically,0.84,1.0,0.72
aerobics,0.7,0.76,0.62
aerobiological,0.5,0.84,0.5
aerobiology,0.5,0.84,0.72
aerodrome,0.54,0.74,0.68
aerodynamic,0.56,0.72,0.72
aerodynamicist,0.8,0.84,0.96
aerodynamics,0.58,0.66,0.72
aerograph,0.5,0.52,0.56
aerographer,0.52,0.6,0.7
aerographic,0.52,0.5,0.64
aerologist,0.5,0.56,0.84
aeromechanical,0.5,0.84,0.74
aeromechanics,0.5,0.84,0.84
aerometer,0.5,0.5,0.64
aeronaut,0.9,0.78,0.8
aeronautic,0.78,0.84,0.74
aeronautical,0.84,0.8,0.84
aeronautically,0.78,0.52,0.7
aeronautics,0.54,0.64,0.68
aerophobia,0.16,0.88,0.06
aeroplane,0.7,0.64,0.64
aerosol,0.5,0.5,0.54
aerospace,0.64,0.52,0.78
aerosphere,0.5,0.5,0.48
aerostatic,0.5,0.68,0.62
aerostation,0.68,0.84,0.6
aesthetic,0.7,0.44,0.52
aesthetical,0.94,0.22,0.58
aesthetically,0.84,0.42,0.56
aesthetician,0.8,0.2,0.72
aestheticism,0.84,0.16,0.78
aesthetics,0.84,0.32,0.54
aetiology,0.48,0.4,0.62
afar,0.4,0.38,0.36
affability,1.0,0.26,0.44
affable,0.7,0.38,0.44
affableness,1.0,0.16,0.6
affably,0.84,0.28,0.64
affair,0.52,0.46,0.64
affect,0.46,0.56,0.58
affectation,0.16,0.5,0.18
affectedly,0.18,0.68,0.24
affectedness,0.16,0.82,0.22
affecting,0.34,0.56,0.4
affection,0.9,0.56,0.7
affectionate,0.94,0.42,0.54
affectionately,1.0,0.16,0.2
affections,0.76,0.54,0.64
affective,0.84,0.84,0.66
affectively,0.54,0.76,0.46
affectivity,0.8,0.84,0.46
affectless,0.16,0.02,0.24
affiche,0.48,0.26,0.4
affidavit,0.46,0.58,0.52
affiliate,0.78,0.62,0.62
affiliate-marketing,0.46,0.7,0.6
affiliated,0.66,0.52,0.54
affiliation,0.62,0.6,0.5
affinitive,0.74,0.5,0.56
affinity,0.8,0.5,0.54
affirm,0.74,0.5,0.72
affirmable,0.84,0.5,0.7
affirmation,0.74,0.5,0.68
affirmative,0.84,0.58,0.82
affirmative-action,0.64,0.64,0.56
affirmatively,0.9,0.5,0.8
affirmer,0.84,0.8,0.74
affix,0.44,0.32,0.4
affixation,0.52,0.76,0.68
affixer,0.5,0.84,0.78
afflict,0.3,0.56,0.3
afflicted,0.26,0.5,0.16
afflicter,0.12,0.84,0.84
affliction,0.3,0.64,0.38
afflictive,0.12,0.16,0.18
affluence,0.66,0.62,0.72
affluent,0.76,0.38,0.46
