term,valence,arousal,dominance
achilles-heel,0.3,0.41,0.4
achiness,0.15,0.37,0.02
aching,0.05,0.88,0.35
achromatic,0.5,0.22,0.5
achy,0.16,0.84,0.38
acid,0.27,0.64,0.57
acid-rain,0.08,0.7,0.33
acidic,0.16,0.5,0.54
acidification,0.16,0.6,0.22
acidifier,0.33,0.71,0.67
acidify,0.16,0.79,0.79
acidity,0.16,0.67,0.36
acidize,0.16,0.84,0.7
acidly,0.19,0.5,0.73
acknowledge,0.78,0.37,0.66
acknowledgeable,0.85,0.5,0.73
acknowledged,0.71,0.44,0.77
acknowledgement,0.82,0.54,0.83
acknowledger,0.75,0.8,0.56
acknowledgment,0.79,0.53,0.78
acme,0.41,0.43,0.38
acne,0.16,0.47,0.31
acolyte,0.67,0.41,0.31
acorn,0.45,0.2,0.19
acoustic,0.54,0.46,0.53
acoustic-guitar,0.57,0.56,0.57
acoustical,0.5,0.26,0.56
acoustically,0.5,0.5,0.54
acoustician,0.5,0.6,0.95
acoustics,0.61,0.33,0.51
acquaint,0.64,0.49,0.64
acquaintance,0.65,0.29,0.67
acquaintanceship,0.67,0.16,0.5
acquainted,0.91,0.36,0.63
acquiesce,0.45,0.16,0.16
acquiescence,0.54,0.48,0.56
acquiescent,0.33,0.16,0.05
acquiescently,0.33,0.16,0.16
acquirable,0.78,0.67,0.68
acquire,0.84,0.47,0.7
acquired,0.54,0.75,0.78
acquired-taste,0.45,0.43,0.46
acquirement,0.85,0.16,0.76
acquirer,0.52,0.81,0.87
acquiring,0.73,0.51,0.82
acquisition,0.7,0.51,0.73
acquisitions,0.78,0.66,0.79
acquisitive,0.36,0.84,0.81
acquisitively,0.59,0.81,0.82
acquisitiveness,0.19,0.84,0.85
acquit,0.59,0.57,0.61
acquittal,0.76,0.49,0.7
acquitted,1.0,0.22,0.77
acquitter,1.0,0.79,0.86
acre,0.59,0.38,0.43
acreage,0.74,0.45,0.53
acres,0.51,0.36,0.5
acrid,0.16,0.84,0.75
acridity,0.09,0.84,0.43
acridly,0.04,0.79,0.59
acridness,0.16,0.84,0.23
acrimonious,0.0,0.85,0.79
acrimoniously,0.06,0.85,0.31
acrimoniousness,0.0,0.96,0.22
acrimony,0.0,0.84,0.36
acrobat,0.71,0.83,0.6
acrobatic,1.0,1.0,0.76
acrobatically,0.85,1.0,0.85
acronym,0.5,0.5,0.5
acronymic,0.5,0.05,0.56
acrophobia,0.15,0.84,0.15
acropolis,0.67,0.16,0.88
across,0.5,0.84,0.5
across-from,0.38,0.43,0.47
acrostic,0.62,0.46,0.54
acrylic,0.58,0.28,0.42
act,0.65,0.7,0.73
act-as,0.59,0.46,0.54
act-for,0.47,0.53,0.48
act-on,0.59,0.54,0.55
act-out,0.38,0.58,0.46
act-up,0.48,0.6,0.46
act-upon,0.54,0.56,0.64
actin,0.5,0.84,0.76
acting,0.7,0.64,0.5
acting-out,0.18,0.62,0.35
acting-up,0.48,0.67,0.51
action,0.76,0.9,0.8
action-figure,0.6,0.7,0.58
action-film,0.56,0.66,0.67
action-movie,0.71,0.7,0.56
actionable,0.67,0.7,0.62
actionably,0.84,0.84,0.85
activate,0.77,0.65,0.8
activated,0.84,1.0,0.78
activation,0.78,0.8,0.76
activator,0.84,0.98,0.84
active,0.84,0.73,0.73
active-duty,0.5,0.78,0.68
active-list,0.51,0.65,0.64
actively,0.84,1.0,0.84
activeness,1.0,1.0,0.85
activism,0.84,0.85,0.84
activist,0.53,0.65,0.88
activities,0.84,1.0,0.67
activity,0.7,0.66,0.8
actor,0.65,0.56,0.63
actress,0.64,0.56,0.6
actual,0.73,0.4,0.71
actuality,0.75,0.46,0.6
actualization,1.0,0.76,0.86
actualize,0.89,0.84,0.82
actually,0.5,0.5,0.5
actuarial,0.5,0.24,0.78
actuary,0.51,0.4,0.49
actuate,0.54,1.0,0.96
actuation,0.52,0.95,0.79
actuator,0.5,1.0,0.84
acuity,0.47,0.38,0.74
acumen,0.57,0.66,0.68
acupressure,0.84,0.68,0.67
acupuncture,0.53,0.33,0.55
acupuncturist,0.7,0.69,0.72
acute,0.43,0.65,0.54
acutely,0.41,0.54,0.49
acuteness,0.89,0.73,0.84
ad,0.52,0.7,0.56
ad-agency,0.51,0.57,0.57
ad-campaign,0.6,0.6,0.55
ad-hoc,0.45,0.46,0.43
ad-hominem,0.2,0.46,0.49
ad-infinitum,0.5,0.6,0.55
ad-libs,0.47,0.52,0.42
ad-nauseam,0.31,0.55,0.49
adage,0.51,0.41,0.57
adamant,0.35,0.53,0.57
adamantly,0.5,0.84,0.91
adapt,0.74,0.36,0.55
adaptability,0.91,0.54,0.84
adaptable,0.73,0.43,0.64
adaptation,0.67,0.36,0.61
adapter,0.5,0.5,0.67
adaption,0.84,0.81,0.77
adaptive,0.9,0.7,0.81
adaptively,0.84,0.75,0.71
adaptor,0.54,0.74,0.64
add,0.73,0.49,0.56
add-in,0.53,0.4,0.58
add-on,0.79,0.5,0.51
add-to,0.5,0.59,0.53
add-up,0.65,0.57,0.43
addams-family,0.63,0.54,0.56
added,0.56,0.4,0.51
added-value,0.75,0.62,0.76
addendum,0.39,0.37,0.42
adder,0.39,0.46,0.59
addict,0.08,0.7,0.33
addicted,0.16,0.71,0.49
addictedness,0.16,0.84,0.11
addiction,0.18,0.8,0.42
addictive,0.3,0.68,0.47
addictiveness,0.16,0.85,0.2
addition,0.56,0.38,0.47
additional,0.67,0.46,0.53
additionally,0.5,0.21,0.53
additive,0.56,0.64,0.69
additively,0.5,0.5,0.5
addlebrained,0.16,0.24,0.12
addled,0.16,0.19,0.19
address,0.65,0.33,0.57
addressable,0.84,0.53,0.79
addressbook,0.5,0.16,0.63
addressee,0.62,0.38,0.54
addresser,0.5,0.81,0.76
addresses,0.51,0.36,0.45
addressor,0.5,0.5,0.79
adenoid,0.32,0.22,0.38
adept,0.6,0.54,0.79
adeptly,0.94,0.84,0.91
adeptness,1.0,0.6,0.85
adequacy,0.62,0.43,0.7
adequate,0.85,0.27,0.7
adequately,0.67,0.44,0.61
adequateness,0.67,0.16,0.78
adhd,0.26,0.47,0.46
adhere,0.64,0.34,0.56
adhere-to,0.5,0.51,0.38
adherence,0.76,0.3,0.63
adherent,0.56,0.38,0.56
adherently,0.54,0.16,0.69
adherer,0.84,0.78,0.69
adhering,0.61,0.56,0.54
adhesion,0.52,0.44,0.59
adhesive,0.6,0.35,0.41
adhesively,0.52,0.5,0.5
adhesiveness,0.75,0.29,0.54
adieu,0.25,0.47,0.34
adios,0.5,0.22,0.5
adipose,0.33,0.35,0.39
adjacency,0.36,0.41,0.38
adjacent,0.64,0.27,0.54
adjacent-to,0.36,0.43,0.46
adjacently,0.5,0.73,0.52
adjective,0.57,0.32,0.57
adjectively,0.5,0.22,0.5
adjoin,0.5,0.5,0.6
adjoining,0.52,0.4,0.4
adjourn,0.38,0.46,0.47
adjournment,0.44,0.51,0.37
adjudicate,0.56,0.52,0.68
adjudication,0.55,0.46,0.69
adjudicative,0.79,0.84,0.96
adjudicator,0.57,0.84,0.87
adjunct,0.46,0.44,0.43
adjunction,0.5,0.5,0.62
adjunctive,0.5,0.76,0.59
adjunctively,0.5,0.5,0.61
adjure,0.5,0.82,0.95
adjust,0.64,0.33,0.64
adjustability,0.84,0.84,0.74
adjustable,0.84,0.73,0.7
adjustably,0.52,0.5,0.64
adjuster,0.51,0.54,0.76
adjustment,0.59,0.52,0.66
adjustor,0.84,0.84,0.63
adjuvant,0.51,0.5,0.46
admin,0.69,0.42,0.85
administer,0.64,0.43,0.86
administrable,0.82,0.65,0.84
administrant,0.5,0.79,0.88
administrate,0.56,0.84,1.0
administration,0.62,0.4,0.78
administrational,0.5,0.16,0.81
administrative,0.54,0.41,0.58
administrative-assistant,0.6,0.62,0.66
administratively,0.5,0.22,0.81
administrator,0.54,0.48,0.9
admirable,0.93,0.6,0.87
admirably,0.97,0.29,0.75
admiral,0.84,0.49,0.84
admiralship,1.0,0.4,1.0
admiralty,0.6,0.54,0.73
admiration,0.97,0.59,0.73
admire,0.86,0.69,0.7
admired,0.91,0.56,0.82
admirer,0.79,0.72,0.65
admiring,0.86,0.58,0.63
admissibility,0.8,0.58,0.6
admissible,0.78,0.53,0.64
admissibly,0.5,0.16,0.6
admission,0.8,0.41,0.73
admissive,0.81,0.22,0.31
admit,0.54,0.43,0.67
admit-to,0.45,0.45,0.41
admittance,0.69,0.45,0.6
admitted,0.72,0.49,0.77
admittedly,0.5,0.5,0.5
admitter,0.5,0.73,0.62
admitting,0.62,0.5,0.54
admixture,0.45,0.38,0.44
admonish,0.16,0.28,0.84
admonisher,0.25,0.81,0.88
admonishment,0.16,0.77,0.79
admonition,0.36,0.6,0.46
ado,0.52,0.43,0.38
adobe,0.5,0.32,0.33
adolescence,0.49,0.7,0.44
adolescent,0.78,0.68,0.51
adolescently,0.5,0.79,0.21
adopt,0.7,0.61,0.7
adoptability,0.85,0.36,0.55
adoptable,0.84,0.37,0.38
adoptee,0.53,0.36,0.21
adopter,0.84,0.84,0.68
adoption,0.62,0.57,0.59
adoptive,0.53,0.47,0.52
adoptively,0.84,0.52,0.48
adorability,0.97,0.33,0.33
adorable,0.97,0.52,0.46
adorableness,1.0,0.33,0.25
adorably,0.96,0.23,0.33
adoration,0.89,0.7,0.71
adore,0.85,0.44,0.65
adored,1.0,0.16,0.43
adorer,0.98,0.84,0.61
adoring,0.89,0.62,0.71
adorn,0.91,0.43,0.48
adorner,0.84,0.25,0.61
adornment,0.92,0.38,0.38
adrenal,0.5,0.96,0.81
adrenalin,0.86,0.92,0.78
adrenaline,0.77,0.96,0.78
adrift,0.4,0.49,0.23
adroitness,0.97,0.84,0.89
adulate,0.72,0.84,0.16
adulation,1.0,0.84,0.62
adulatory,0.81,0.56,0.57
adult,0.82,0.49,0.78
adult-life,0.57,0.53,0.62
adult-male,0.43,0.52,0.67
adulterant,0.16,0.5,0.24
adulterate,0.1,0.67,0.33
adulterated,0.19,0.86,0.37
adulteration,0.15,0.5,0.22
adulterator,0.02,0.84,0.82
adulterer,0.23,0.82,0.4
adulteress,0.15,0.77,0.27
adulterous,0.0,0.84,0.31
adulterously,0.02,0.82,0.6
adultery,0.12,0.92,0.51
adulthood,0.54,0.46,0.65
adultlike,0.84,0.31,0.79
adultness,0.79,0.24,0.78
advance,0.67,0.47,0.86
advance-poll,0.67,0.43,0.64
advanced,0.84,0.62,0.79
advancement,0.78,0.65,0.84
advancer,0.84,1.0,0.97
advancing,0.93,0.61,0.86
advantage,0.91,0.55,0.86
advantageous,0.84,0.64,0.79
advantageously,0.96,0.54,0.98
advantageousness,1.0,0.21,0.88
advent,0.67,0.56,0.62
advent-calendar,0.71,0.47,0.62
adventure,0.91,0.85,0.71
adventure-game,0.57,0.71,0.77
adventurer,0.78,0.84,0.87
adventures,0.81,0.77,0.75
adventuresome,0.96,0.98,0.84
adventurism,0.84,1.0,0.85
adventurist,0.81,0.84,0.85
adventurous,0.97,0.9,0.72
adventurously,0.84,0.94,0.81
adventurousness,1.0,0.96,0.84
adverb,0.5,0.4,0.5
adverbial,0.5,0.16,0.55
adversarial,0.16,0.95,0.91
adversary,0.35,0.78,0.46
adverse,0.33,0.61,0.38
adversely,0.06,0.84,0.18
adverseness,0.16,0.79,0.3
adversity,0.27,0.72,0.54
advert,0.5,0.78,0.67
advertently,0.5,0.69,0.75
advertise,0.5,0.53,0.58
advertised,0.81,0.84,0.67
advertisement,0.6,0.57,0.54
advertiser,0.5,0.84,0.82
advertising,0.62,0.61,0.63
advertize,0.59,0.84,0.79
adverts,0.55,0.5,0.6
advice,0.7,0.41,0.69
advisability,0.8,0.16,0.74
advisable,0.86,0.48,0.51
advisably,0.82,0.16,0.73
advise,0.76,0.4,0.7
advised,0.82,0.25,0.62
advisedly,0.77,0.16,0.76
advisee,0.59,0.33,0.27
advisement,0.7,0.23,0.65
adviser,0.74,0.36,0.7
advisor,0.64,0.35,0.69
advisory,0.65,0.43,0.64
advisory-board,0.62,0.46,0.64
advocacy,0.5,0.64,0.73
advocate,0.55,0.53,0.82
advocator,0.88,0.84,0.79
advocatory,0.8,0.82,0.79
aegis,0.49,0.44,0.46
aerate,0.76,0.84,0.57
aeration,0.55,0.5,0.43
aerator,0.84,0.84,0.78
aerial,0.62,0.46,0.46
aerialist,0.84,0.85,0.76
aerially,0.5,0.67,0.59
aerobatic,0.81,1.0,0.81
aerobic,0.84,1.0,0.77
aerobically,0.84,1.0,0.72
aerobics,0.71,0.77,0.62
aerobiological,0.5,0.84,0.5
aerobiology,0.5,0.84,0.73
aerodrome,0.54,0.74,0.68
aerodynamic,0.56,0.73,0.73
aerodynamicist,0.8,0.84,0.97
aerodynamics,0.59,0.67,0.72
aerograph,0.5,0.53,0.56
aerographer,0.52,0.6,0.71
aerographic,0.53,0.5,0.64
aerologist,0.5,0.56,0.85
aeromechanical,0.5,0.84,0.75
aeromechanics,0.5,0.84,0.84
aerometer,0.5,0.5,0.65
aeronaut,0.91,0.79,0.81
aeronautic,0.78,0.84,0.74
aeronautical,0.84,0.81,0.85
aeronautically,0.78,0.52,0.7
aeronautics,0.55,0.64,0.69
aerophobia,0.16,0.88,0.06
aeroplane,0.71,0.64,0.64
aerosol,0.5,0.5,0.54
aerospace,0.64,0.52,0.78
aerosphere,0.5,0.5,0.48
aerostatic,0.5,0.69,0.62
aerostation,0.69,0.85,0.61
aesthetic,0.71,0.44,0.53
aesthetical,0.94,0.22,0.59
aesthetically,0.85,0.43,0.56
aesthetician,0.81,0.21,0.73
aestheticism,0.84,0.16,0.78
aesthetics,0.84,0.33,0.55
aetiology,0.48,0.4,0.62
afar,0.4,0.38,0.36
affability,1.0,0.26,0.45
affable,0.7,0.38,0.45
affableness,1.0,0.16,0.61
affably,0.85,0.29,0.65
affair,0.52,0.46,0.65
affect,0.46,0.57,0.58
affectation,0.16,0.5,0.18
affectedly,0.19,0.69,0.24
affectedness,0.16,0.82,0.23
affecting,0.35,0.57,0.4
affection,0.9,0.56,0.7
affectionate,0.95,0.42,0.55
affectionately,1.0,0.16,0.21
affections,0.76,0.54,0.65
affective,0.84,0.84,0.67
affectively,0.55,0.76,0.46
affectivity,0.81,0.84,0.46
affectless,0.16,0.02,0.25
affiche,0.48,0.27,0.4
affidavit,0.47,0.59,0.53
affiliate,0.78,0.62,0.62
affiliate-marketing,0.46,0.71,0.6
affiliated,0.67,0.52,0.54
affiliation,0.62,0.6,0.5
affinitive,0.75,0.5,0.57
affinity,0.8,0.5,0.54
affirm,0.74,0.51,0.73
affirmable,0.85,0.5,0.71
affirmation,0.75,0.5,0.69
affirmative,0.85,0.59,0.82
affirmative-action,0.64,0.64,0.56
affirmatively,0.91,0.5,0.81
affirmer,0.84,0.81,0.74
affix,0.44,0.33,0.41
affixation,0.52,0.77,0.68
affixer,0.5,0.84,0.78
afflict,0.3,0.56,0.3
afflicted,0.27,0.5,0.16
afflicter,0.12,0.84,0.85
affliction,0.3,0.64,0.39
afflictive,0.12,0.16,0.19
affluence,0.67,0.62,0.72
affluent,0.76,0.39,0.47
